model,train_rows,test_rows,parameters,rank,test_mae_kcal,test_rmse_kcal,test_r2
Macronutrients,4278,1056,3,3,6.861100381787,15.37612425287229,0.9914962237490762
Category interactions,4278,1056,100,100,6.040010016257492,15.707458450764872,0.991125785862498
Alcohol and fiber interactions,4278,1056,150,126,4.703832731474486,13.554107367622553,0.9933921540741056
