group,rows,cholesterol_rows,mean_calories_kcal,mean_fat_g,mean_cholesterol_mg
All foods,7793,7394,220.2431177210317,10.687361041960733,45.04530700568028
Zero-carbohydrate foods,2138,2087,233.55501234798876,15.582214499532272,95.73646382367033
500 highest-protein foods,500,493,242.658,9.68152,99.6369168356998
